State,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address,Timezone,Term dates
NSW,City of Sydney,Rhyme Time,baby,Rhymetime is a fun interactive session of singing and rhymes for 0-2 years. The program fosters a love of reading and helps develop important early literacy skills and social interaction.,0 - 2 years,Thursday,10:30am - 10:50am,Glebe Library,"186-194 Glebe Point Rd, Glebe NSW 2037, Australia",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Story Time,teddy_book,Storytime is a fun interactive session of storytelling for 3-5year olds and their carers. The program fosters a love of reading and helps develop important early literacy skills and social interaction in readiness for school.,3 - 5 years,Thursday,11:30am - 12:00pm,Green Square Library,"355 Botany Road, Zetland NSW 2017",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Rhyme Time,baby,Rhymetime is a fun interactive session of singing and rhymes for 0-2 years. The program fosters a love of reading and helps develop important early literacy skills and social interaction.,0 - 2 years,Thursday,"10:15am - 10:35am
11:00am - 11:20am",Green Square Library,"355 Botany Road, Zetland NSW 2017",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Story Time,teddy_book,Storytime is a fun interactive session of storytelling for 3-5year olds and their carers. The program fosters a love of reading and helps develop important early literacy skills and social interaction in readiness for school.,3 - 5 years,Thursday,11:30am - 12:00pm,Glebe Library,"186-194 Glebe Point Rd, Glebe NSW 2037, Australia",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Balance Bike Clinics,?,"Kids start on balance bikes and once confident, can move onto pedal bikes. This is an interactive class designed to get parents involved in their children’s learning. Suitable for children aged 3 to 8 years. Bikes and helmets are provided, or you can bring your own. No bookings required.",3 - 8 years,Saturday,9:00am - 11:00am,Sydney Park Cycling Centre,"410-416 Sydney Park Road, Alexandria NSW 2015",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Auslan and English Story Time,teddy_book,"Join our storytime in Auslan and English, presented by our library team and Deaf Connect at Glebe Library. Storytime is a fun session of storytelling for preschoolers. The program fosters an early love of reading and helps develop literacy skills and social interaction in readiness for school. This session is suitable for deaf and hearing children, ages 3 to 5 years.",3 - 5 years,Saturday,11:30am - 12:00pm,Glebe Library,"186-194 Glebe Point Rd, Glebe NSW 2037, Australia",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Story Time,teddy_book,"We read stories and rhymes to encourage a love of books and a desire to learn to read. These sessions support pre-schoolers with listening and language skills, and being comfortable as part of a group in a fun and engaging way. No bookings required.",3 - 5 years,Tuesday,10:30am - 11:00am,Emanuel Tsardoulias Community Library,"362-372 New Canterbury Road, Dulwich Hill NSW 2203",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Story Time,teddy_book,"We read stories and rhymes to encourage a love of books and a desire to learn to read. These sessions support pre-schoolers with listening and language skills, and being comfortable as part of a group in a fun and engaging way. No bookings required.",3 - 5 years,Tuesday,10:30am - 11:00am,Haberfield Library,"78 Dalhousie Street, Haberfield NSW 2045",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Story Time,teddy_book,"We read stories and rhymes to encourage a love of books and a desire to learn to read. These sessions support pre-schoolers with listening and language skills, and being comfortable as part of a group in a fun and engaging way. No bookings required.",3 - 5 years,Monday,10:30am - 11:00am,Ashfield Library,"Level 3, 260 Liverpool Road, Ashfield NSW 2131",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Story Time,teddy_book,"We read stories and rhymes to encourage a love of books and a desire to learn to read. These sessions support pre-schoolers with listening and language skills, and being comfortable as part of a group in a fun and engaging way. No bookings required.",3 - 5 years,Wednesday,10:30am - 11:00am,Balmain Library,"370 Darling Street, Balmain NSW 2041",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Story Time,teddy_book,"We read stories and rhymes to encourage a love of books and a desire to learn to read. These sessions support pre-schoolers with listening and language skills, and being comfortable as part of a group in a fun and engaging way. No bookings required.",3 - 5 years,Monday,10:30am - 11:00am,Leichhardt Library,"Piazza Level, Italian Forum
23 Norton Street, Leichhardt NSW 2040",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Story Time,teddy_book,"We read stories and rhymes to encourage a love of books and a desire to learn to read. These sessions support pre-schoolers with listening and language skills, and being comfortable as part of a group in a fun and engaging way. No bookings required.",3 - 5 years,Wednesday,10:30am - 11:00am,Marrickville Library and Pavilion,"Patyegarang Place
313 Marrickville Road, Marrickville NSW 2204",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Story Time,teddy_book,"We read stories and rhymes to encourage a love of books and a desire to learn to read. These sessions support pre-schoolers with listening and language skills, and being comfortable as part of a group in a fun and engaging way. No bookings required.",3 - 5 years,Friday,10:30am - 11:00am,St Peters / Sydenham Library,"39 Unwins Bridge Road, Sydenhamn NSW 2044",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Story Time,teddy_book,"We read stories and rhymes to encourage a love of books and a desire to learn to read. These sessions support pre-schoolers with listening and language skills, and being comfortable as part of a group in a fun and engaging way. No bookings required.",3 - 5 years,Friday,10:30am - 11:00am,Stanmore Library,"Stanmore Reserve, Douglas Street, Stanmore NSW 2048",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,music_book,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Wednesday,10:30am - 11:00am,Ashfield Library,"Level 3, 260 Liverpool Road, Ashfield NSW 2131",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,music_book,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Friday,10:30am - 11:00am,Ashfield Library,"Level 3, 260 Liverpool Road, Ashfield NSW 2131",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,music_book,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Tuesday,10:30am - 11:00am,Balmain Library,"370 Darling Street, Balmain NSW 2041",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,music_book,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Friday,10:30am - 11:00am,Balmain Library,"370 Darling Street, Balmain NSW 2041",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,music_book,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Monday,10:30am - 11:00am,Emanuel Tsardoulias Community Library,"362-372 New Canterbury Road, Dulwich Hill NSW 2203",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,music_book,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Wednesday,10:30am - 11:00am,Haberfield Library,"78 Dalhousie Street, Haberfield NSW 2045",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,music_book,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Tuesday,10:30am - 11:00am,Leichhardt Library,"Piazza Level, Italian Forum
23 Norton Street, Leichhardt NSW 2040",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,music_book,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Thursday,10:30am - 11:00am,Leichhardt Library,"Piazza Level, Italian Forum
23 Norton Street, Leichhardt NSW 2040",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,music_book,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Monday,10:30am - 11:00am,Marrickville Library and Pavilion,"Patyegarang Place
313 Marrickville Road, Marrickville NSW 2204",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,music_book,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Thursday,10:30am - 11:00am,Marrickville Library and Pavilion,"Patyegarang Place
313 Marrickville Road, Marrickville NSW 2204",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,music_book,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Tuesday,10:30am - 11:00am,St Peters / Sydenham Library,"39 Unwins Bridge Road, Sydenhamn NSW 2044",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,music_book,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Wednesday,10:30am - 11:00am,Stanmore Library,"Stanmore Reserve, Douglas Street, Stanmore NSW 2048",AEDT,Not available in school holidays or public holidays
NSW,Randwick City Council,Bop 2 Books ,music_book,"Bop 2 Books is a weekly program for children aged between 24 - 36 months. Featuring rhymes, music and stories for young children and their parents or carers every week of the year on Tuesdays, except school holidays and public holidays. Come along and Bop! Bookings essential online (bookings open one week in advance). You must book into each session you wish to attend https://www.eventbrite.com.au/e/802029330317",2 - 3 years,Tuesday,10:30am - 11:00am,Margaret Martin Library,"Level 1, Royal Randwick Shopping Centre, Belmore Road, Randwick NSW 2031",AEDT,Not available in school holidays or public holidays
